1 - State Code,1 - State Name,8 - Structure Number,22 - Owner Agency,3 - County Code,3 - County Name,4 - Place Code,City - InfoBridge Place Code,City - InfoBridge Place Name,27 - Year Built,29 - Average Daily Traffic,43A - Main Span Material,43B - Main Span Design,45 - Number of Spans in Main Unit,49 - Structure Length (ft.),6A - Features Intersected,7 - Facility Carried By Structure,CAT10 - Bridge Condition,Bridge Age (yr),CAT29 - Deck Area (sq. ft.),16 - Latitude (decimal),17 - Longitude (decimal),34 - Skew Angle (degrees),48 - Length of Maximum Span (ft.)
41,Oregon,17336 456 01567,State Highway Agency,45,Malheur County,0,0,No Place Code,1993,1774,Steel,Culvert,2,20,HOOKER CREEK            ,US 95 (HWY 456)   ,Good,30,643.5,43.04097,-117.07052,0,7.9
41,Oregon,05225A456 01098,State Highway Agency,45,Malheur County,0,0,No Place Code,1944,1662,Concrete Continuous,Tee Beam,3,86,COW CREEK               ,US 95 (HWY 456)   ,Fair,79,2481.7,43.10775,-117.0575,0,32.2
41,Oregon,02118A456 00216,State Highway Agency,45,Malheur County,0,0,No Place Code,1975,1663,Prestressed Concrete,Slab,3,147.6,SUCCOR CREEK            ,US 95 (HWY 456)   ,Fair,48,5328.1,43.2287,-117.0535,0,48.9
41,Oregon,01948A456 02577,State Highway Agency,45,Malheur County,0,0,No Place Code,1985,1653,Prestressed Concrete,Slab,3,140.7,JORDAN CREEK            ,US 95 (HWY 456)   ,Good,38,5079.5,42.9854,-117.1538,30,56.1
41,Oregon,01947A456 02791,State Highway Agency,45,Malheur County,0,0,No Place Code,1985,1570,Prestressed Concrete,Slab,1,51.5,ANTELOPE CANAL 1ST XING ,US 95 (HWY 456)   ,Good,38,1858.9,42.9645,-117.1846,8,50.9
41,Oregon,01946A456 02992,State Highway Agency,45,Malheur County,0,0,No Place Code,1985,1570,Prestressed Concrete,Slab,1,47.9,ANTELOPE CANAL (2ND XING,US 95 (HWY 456)   ,Good,38,1728.7,42.9444,-117.2134,27,46.9
41,Oregon,07071 450Y02048,State Highway Agency,45,Malheur County,0,0,No Place Code,1947,552,Concrete Continuous,Culvert,2,21,IRRIGATION CANAL        ,OR 201 (HWY 490)  ,Fair,76,757.8,43.63,-117.06028,0,9.8
41,Oregon,01463A007 26681,State Highway Agency,45,Malheur County,53750,0,No Place Code,1957,4700,Steel Continuous,Girder and Floorbeam System,3,696.9,SNAKE RIVER(NYSSA)      ,US 20 (HWY 007)   ,Fair,66,36580,43.877,-116.9839,0,228
41,Oregon,18519 453 00159,State Highway Agency,45,Malheur County,0,0,No Place Code,1999,243,Concrete,Culvert,1,21,RIVERSIDE CANAL         ,HWY 453           ,Good,24,461.6,43.71741,-117.04585,31,21
41,Oregon,08107W006 37792,State Highway Agency,45,Malheur County,0,0,No Place Code,1960,11500,Steel,Stringer/Multi-beam or Girder,7,953.4,SNAKE RIVER             ,I-84 (HWY 006) WB ,Fair,63,33156.7,44.007107,-116.9411,0,127
