Structure Number,HWB Class,Kskew,K3D,Kshape (assumed),Slight,Moderate,Extensive,Complete,NBI Class,Dispersion
17336 456 01567,HWB28,1.0,1.0,1.0,0.8,1.0,1.2,1.7,319.0,0.6
05225A456 01098,HWB10,1.0,1.11,1.0,0.6,0.9990000000000001,1.2210000000000003,1.665,204.0,0.6
02118A456 00216,HWB17,1.0,1.125,1.0,0.25,0.39375,0.50625,0.7875,501.0,0.6
01948A456 02577,HWB17,0.9306048591020997,1.125,1.0,0.25,0.3664256632714517,0.4711187099204379,0.7328513265429034,501.0,0.6
01947A456 02791,HWB3,0.9951221375999885,1.2,1.0,0.8,1.194146565119986,1.4329758781439832,2.0300491607039763,501.0,0.6
01946A456 02992,HWB3,0.9439314192187734,1.2,1.0,0.8,1.1327177030625282,1.3592612436750338,1.9256200952062976,501.0,0.6
07071 450Y02048,HWB28,1.0,1.0,1.0,0.8,1.0,1.2,1.7,219.0,0.6
01463A007 26681,HWB28,1.0,1.0,1.0,0.8,1.0,1.2,1.7,400.0,0.6
18519 453 00159,HWB4,0.925833300709211,1.2,1.0,0.8,1.1109999608510532,1.333199953021264,1.8886999334467902,119.0,0.6
08107W006 37792,HWB12,1.0,1.015,1.0,0.25,0.35524999999999995,0.45675,0.7104999999999999,302.0,0.6
08107E006 37792,HWB12,1.0,1.015,1.0,0.25,0.35524999999999995,0.45675,0.7104999999999999,302.0,0.6
01000B455 02839,HWB22,1.0,1.0366666666666666,1.0,0.6,0.9329999999999999,1.1403333333333334,1.555,602.0,0.6
08400 006 37698,HWB10,0.9779083576506724,1.066,1.0,0.6,0.9382052783300552,1.1466953401811788,1.5636754638834254,202.0,0.6
18097 455Y02773,HWB23,0.9828152554214186,1.33,1.0,0.9,1.1764298607394381,1.4378587186815357,1.96071643456573,605.0,0.6
08398W006 37600,HWB10,1.0,1.11,1.0,0.6,0.9990000000000001,1.2210000000000003,1.665,202.0,0.6
08398E006 37600,HWB10,1.0,1.11,1.0,0.6,0.9990000000000001,1.2210000000000003,1.665,202.0,0.6
04412A450Y01272,HWB22,1.0,1.055,1.0,0.6,0.9495,1.1605,1.5825,602.0,0.6
08397E006 37580,HWB10,0.9629038656931372,1.11,1.0,0.6,0.9619409618274443,1.175705620011321,1.6032349363790734,202.0,0.6
08397W006 37580,HWB10,0.9629038656931372,1.11,1.0,0.6,0.9619409618274443,1.175705620011321,1.6032349363790734,202.0,0.6
01747B450 00873,HWB17,1.0,1.0416666666666667,1.0,0.25,0.3645833333333333,0.46875000000000006,0.7291666666666666,501.0,0.6
04393A450 00526,HWB3,1.0,1.2,1.0,0.8,1.2,1.44,2.04,501.0,0.6
04335A455Y02130,HWB15,1.0,1.0166666666666666,1.0,0.75,0.7625,0.7625,1.1183333333333334,402.0,0.6
